,PROCESS_ID,DATET_STOP
23070,CP4,2022-01-18 05
23071,CP4,2022-01-18 08
23072,CP4,2022-01-18 10
23073,CP4,2022-01-18 15
23074,CP4,2022-01-18 18
23075,CP4,2022-01-18 20
23076,CP4,2022-01-18 22
23077,CP4,2022-01-19 01
23078,CP4,2022-01-19 03
23079,CP4,2022-01-19 06
23080,CP4,2022-01-19 08
23081,CP4,2022-01-19 10
23082,CP4,2022-01-19 13
23083,CP4,2022-01-19 15
23084,CP4,2022-01-19 18
23085,CP4,2022-01-19 20
23086,CP4,2022-01-19 22
23087,CP4,2022-01-20 00
23088,CP4,2022-01-20 03
23089,CP4,2022-01-20 05
23090,CP4,2022-01-20 07
23091,CP4,2022-01-20 09
23092,CP4,2022-01-20 12
23093,CP4,2022-01-20 14
23094,CP4,2022-01-20 16
23095,CP4,2022-01-20 18
23096,CP4,2022-01-20 21
23097,CP4,2022-01-20 23
23098,CP4,2022-01-21 03
23099,CP4,2022-01-21 05
3270,CP4,2022-01-21 11
3271,CP4,2022-01-21 13
3272,CP4,2022-01-21 15
3273,CP4,2022-01-21 17
3274,CP4,2022-01-21 19
3275,CP4,2022-01-21 22
3276,CP4,2022-01-22 00
3277,CP4,2022-01-22 02
3278,CP4,2022-01-22 04
3279,CP4,2022-01-22 06
3280,CP4,2022-01-22 09
3281,CP4,2022-01-22 11
3282,CP4,2022-01-22 13
3283,CP4,2022-01-22 16
3284,CP4,2022-01-22 18
3285,CP4,2022-01-22 20
3286,CP4,2022-01-22 22
3287,CP4,2022-01-23 00
3288,CP4,2022-01-23 02
3289,CP4,2022-01-23 05
3290,CP4,2022-01-23 07
3291,CP4,2022-01-23 09
3292,CP4,2022-01-23 11
3293,CP4,2022-01-23 13
3294,CP4,2022-01-23 16
3295,CP4,2022-01-23 22
3296,CP4,2022-01-24 00
3297,CP4,2022-01-24 02
3298,CP4,2022-01-24 04
3299,CP4,2022-01-24 06
3300,CP4,2022-01-24 10
3301,CP4,2022-01-24 12
3302,CP4,2022-01-24 14
3303,CP4,2022-01-24 17
3304,CP4,2022-01-24 19
3305,CP4,2022-01-24 21
3306,CP4,2022-01-24 23
3307,CP4,2022-01-25 01
3308,CP4,2022-01-25 04
3309,CP4,2022-01-25 06
3310,CP4,2022-01-25 08
3311,CP4,2022-01-25 10
3312,CP4,2022-01-25 12
3313,CP4,2022-01-25 14
3314,CP4,2022-01-25 16
3315,CP4,2022-01-25 18
3316,CP4,2022-01-25 21
3317,CP4,2022-01-26 01
3318,CP4,2022-01-26 03
3319,CP4,2022-01-26 05
3320,CP4,2022-01-26 07
3321,CP4,2022-01-26 09
3322,CP4,2022-01-26 11
3323,CP4,2022-01-26 14
3324,CP4,2022-01-26 16
3325,CP4,2022-01-26 18
3326,CP4,2022-01-26 20
3327,CP4,2022-01-26 22
3328,CP4,2022-01-27 00
3329,CP4,2022-01-27 02
3330,CP4,2022-01-27 04
3331,CP4,2022-01-27 07
3332,CP4,2022-01-27 09
3333,CP4,2022-01-27 11
3334,CP4,2022-01-27 13
23100,CP4,2022-01-27 16
3335,CP4,2022-01-27 18
3336,CP4,2022-01-27 21
3337,CP4,2022-01-27 23
3338,CP4,2022-01-28 01
3339,CP4,2022-01-28 03
3340,CP4,2022-01-28 05
3341,CP4,2022-01-28 07
3342,CP4,2022-01-28 10
3343,CP4,2022-01-28 12
3344,CP4,2022-01-28 14
3345,CP4,2022-01-28 17
3346,CP4,2022-01-28 19
3347,CP4,2022-01-28 21
3348,CP4,2022-01-28 23
3349,CP4,2022-01-29 01
3350,CP4,2022-01-29 03
3351,CP4,2022-01-29 06
3352,CP4,2022-01-29 08
3353,CP4,2022-01-29 10
3354,CP4,2022-01-29 12
3355,CP4,2022-01-29 14
3356,CP4,2022-01-29 16
3357,CP4,2022-01-29 19
3358,CP4,2022-01-29 21
3359,CP4,2022-01-29 23
3360,CP4,2022-01-30 01
3361,CP4,2022-01-30 03
3362,CP4,2022-01-30 06
3363,CP4,2022-01-30 08
